
02/03/2021 20:35:20
Dept	Year	Times Accessed	Duration
CE	1	3		0.0009999275207519531
CE	2	2		0.0
CE	3	3		0.0010027885437011719
CE	4	2		0.0
CSE	1	3		0.0009996891021728516
CSE	2	2		0.0
CSE	3	3		0.0
CSE	4	3		0.00099945068359375
ECE	1	4		0.0
ECE	2	3		0.0010008811950683594
ECE	3	4		0.001001119613647461
ECE	4	3		0.0010013580322265625
EE	1	3		0.001001119613647461
EE	2	2		0.0
EE	3	3		0.0010106563568115234
EE	4	2		0.0
FT	1	3		0.001001119613647461
FT	2	2		0.0
FT	3	3		0.000982046127319336
FT	4	2		0.0
IT	1	4		0.0
IT	2	4		0.0024421215057373047
IT	3	4		0.000990152359008789
IT	4	3		0.0
ME	1	3		0.0030210018157958984
ME	2	2		0.0
ME	3	3		0.0
ME	4	2		0.0



07/03/2021 16:58:28
Dept	Year	Times Accessed	Duration
CE	1	3		0.014016151428222656
CE	2	2		0.041573524475097656
CE	3	3		0.00902557373046875
CE	4	2		0.012404441833496094
CSE	1	3		0.0020012855529785156
CSE	2	2		0.005931377410888672
CSE	3	3		0.0020198822021484375
CSE	4	3		0.0064923763275146484
ECE	1	4		0.0065119266510009766
ECE	2	3		0.008997678756713867
ECE	3	4		0.0019981861114501953
ECE	4	3		0.0018467903137207031
EE	1	3		0.0008785724639892578
EE	2	2		0.004077434539794922
EE	3	3		0.0014996528625488281
EE	4	2		0.0022077560424804688
FT	1	3		0.0010008811950683594
FT	2	2		0.0013058185577392578
FT	3	3		0.001917123794555664
FT	4	2		0.0048792362213134766
IT	1	4		0.0020210742950439453
IT	2	4		0.003985404968261719
IT	3	4		0.0009987354278564453
IT	4	3		0.0012049674987792969
ME	1	3		0.002321958541870117
ME	2	2		0.00458073616027832
ME	3	3		0.0025005340576171875
ME	4	2		0.009199380874633789

07/03/2021 16:59:08
Dept	Year	Times Accessed	Duration
CE	1	3		0.0009980201721191406
CE	2	2		0.0010020732879638672
CE	3	3		0.0009987354278564453
CE	4	2		0.0
CSE	1	3		0.0009987354278564453
CSE	2	2		0.0004994869232177734
CSE	3	3		0.0005009174346923828
CSE	4	3		0.0010004043579101562
ECE	1	4		0.0020024776458740234
ECE	2	3		0.0005021095275878906
ECE	3	4		0.0014998912811279297
ECE	4	3		0.001003265380859375
EE	1	3		0.0010004043579101562
EE	2	2		0.0005004405975341797
EE	3	3		0.0005004405975341797
EE	4	2		0.0
FT	1	3		0.0010023117065429688
FT	2	2		0.0005004405975341797
FT	3	3		0.0009992122650146484
FT	4	2		0.0030066967010498047
IT	1	4		0.0020003318786621094
IT	2	4		0.002497434616088867
IT	3	4		0.0015063285827636719
IT	4	3		0.0009915828704833984
ME	1	3		0.001001119613647461
ME	2	2		0.0010082721710205078
ME	3	3		0.0009944438934326172
ME	4	2		0.0010020732879638672

07/03/2021 17:05:53
Dept	Year	Times Accessed	Duration
CE	1	3		0.0
CE	2	2		0.0004987716674804688
CE	3	3		0.000499725341796875
CE	4	2		0.0
CSE	1	3		0.0009999275207519531
CSE	2	2		0.0
CSE	3	3		0.0005028247833251953
CSE	4	3		0.001001119613647461
ECE	1	4		0.0
ECE	2	3		0.001001119613647461
ECE	3	4		0.0015044212341308594
ECE	4	3		0.0005018711090087891
EE	1	3		0.0005004405975341797
EE	2	2		0.0004973411560058594
EE	3	3		0.0005016326904296875
EE	4	2		0.0
FT	1	3		0.0010213851928710938
FT	2	2		0.0
FT	3	3		0.0004818439483642578
FT	4	2		0.000499725341796875
IT	1	4		0.0010018348693847656
IT	2	4		0.0015168190002441406
IT	3	4		0.0005004405975341797
IT	4	3		0.0
ME	1	3		0.0004999637603759766
ME	2	2		0.0005004405975341797
ME	3	3		0.0009951591491699219
ME	4	2		0.0

07/03/2021 17:42:36
Dept	Year	Times Accessed	Duration
CE	1	3		0.0
CE	2	2		0.06253623962402344
CE	3	3		0.0
CE	4	2		0.046875
CSE	1	3		0.0
CSE	2	2		0.062456369400024414
CSE	3	3		0.0
CSE	4	3		0.0
ECE	1	4		0.0
ECE	2	3		0.0
ECE	3	4		0.0156252384185791
ECE	4	3		0.015626907348632812
EE	1	3		0.0
EE	2	2		0.0
EE	3	3		0.0
EE	4	2		0.03127789497375488
FT	1	3		0.0
FT	2	2		0.0
FT	3	3		0.0
FT	4	2		0.015604019165039062
IT	1	4		0.0
IT	2	4		0.0
IT	3	4		0.015647172927856445
IT	4	3		0.0
ME	1	3		0.0
ME	2	2		0.015671253204345703
ME	3	3		0.0
ME	4	2		0.015572071075439453

07/03/2021 17:43:46
Dept	Year	Times Accessed	Duration
CE	1	3		0.0
CE	2	2		0.0
CE	3	3		0.0
CE	4	2		0.0
CSE	1	3		0.0
CSE	2	2		0.0
CSE	3	3		0.0
CSE	4	3		0.0
ECE	1	4		0.0
ECE	2	3		0.0
ECE	3	4		0.0
ECE	4	3		0.0
EE	1	3		0.008000612258911133
EE	2	2		0.0
EE	3	3		0.008001565933227539
EE	4	2		0.0
FT	1	3		0.0
FT	2	2		0.0
FT	3	3		0.0
FT	4	2		0.0
IT	1	4		0.008002519607543945
IT	2	4		0.0
IT	3	4		0.0
IT	4	3		0.0
ME	1	3		0.0
ME	2	2		0.0
ME	3	3		0.0
ME	4	2		0.0

07/03/2021 18:13:16
Dept	Year	Times Accessed	Duration
CE	1	3		0.0
CE	2	2		0.0
CE	3	3		0.0
CE	4	2		0.0
CSE	1	3		0.0
CSE	2	2		0.0
CSE	3	3		0.0
CSE	4	3		0.0
ECE	1	4		0.0
ECE	2	3		0.0
ECE	3	4		0.0
ECE	4	3		0.0
EE	1	3		0.0
EE	2	2		0.0
EE	3	3		0.0
EE	4	2		0.0
FT	1	3		0.0
FT	2	2		0.0
FT	3	3		0.0
FT	4	2		0.0
IT	1	4		0.0
IT	2	4		0.0
IT	3	4		0.01562643051147461
IT	4	3		0.0
ME	1	3		0.0
ME	2	2		0.0
ME	3	3		0.0
ME	4	2		0.0

07/03/2021 18:13:47
Dept	Year	Times Accessed	Duration
CE	1	3		0.0
CE	2	2		0.0
CE	3	3		0.0
CE	4	2		0.0
CSE	1	3		0.0
CSE	2	2		0.0
CSE	3	3		0.0
CSE	4	3		0.0
ECE	1	4		0.0
ECE	2	3		0.0
ECE	3	4		0.0
ECE	4	3		0.0
EE	1	3		0.0
EE	2	2		0.0
EE	3	3		0.0
EE	4	2		0.0
FT	1	3		0.0
FT	2	2		0.0
FT	3	3		0.0
FT	4	2		0.0
IT	1	4		0.015607357025146484
IT	2	4		0.0
IT	3	4		0.0
IT	4	3		0.0
ME	1	3		0.0
ME	2	2		0.0
ME	3	3		0.0
ME	4	2		0.0

07/03/2021 18:14:00
Dept	Year	Times Accessed	Duration
CE	1	3		0.01560664176940918
CE	2	2		0.0
CE	3	3		0.0
CE	4	2		0.0
CSE	1	3		0.0
CSE	2	2		0.0
CSE	3	3		0.0
CSE	4	3		0.0
ECE	1	4		0.0
ECE	2	3		0.0
ECE	3	4		0.0
ECE	4	3		0.0
EE	1	3		0.0
EE	2	2		0.0
EE	3	3		0.0
EE	4	2		0.015644073486328125
FT	1	3		0.0
FT	2	2		0.0
FT	3	3		0.0
FT	4	2		0.0
IT	1	4		0.0
IT	2	4		0.0
IT	3	4		0.0
IT	4	3		0.0
ME	1	3		0.0
ME	2	2		0.0
ME	3	3		0.0
ME	4	2		0.0

07/03/2021 18:19:19
Dept	Year	Times Accessed	Duration
CE	1	3		0.0009999275207519531
CE	2	2		0.0005180835723876953
CE	3	3		0.001007080078125
